Auxiliary Dataset D1.  Modeled motions for the hotspots listed in Table S6.
---------------------------------------------
Hotspot   Age      Lat        Lon
Darfur   67.4000   9.2618   21.8184
Darfur   70.2000   9.3688   21.8169
Darfur   76.0000   9.5193   21.8084
Darfur   80.2000   9.6334   21.8065
Darfur   84.8000   9.7416   21.8040
Darfur   90.4000   9.8474   21.8029
Darfur   93.0000   9.9466   21.8167
Darfur   114.6000   10.0521   21.7978
Darfur   122.2000   10.0151   21.7902
Darfur   126.0000   9.8632   21.7743
Darfur   128.8000   9.7151   21.7702
Darfur   130.4000   9.5550   21.7659
Darfur   131.4000   9.4356   21.7672
Darfur   132.6000   9.3259   21.7980
Darfur   133.6000   9.2062   21.8235
Darfur   134.6000   9.0663   21.8470
Darfur   135.4000   8.9420   21.8656
Darfur   136.4000   8.7663   21.8865
Darfur   137.0000   8.6502   21.8980
Darfur   137.6000   8.5203   21.9023
Darfur   138.2000   8.3782   21.8962
Darfur   138.6000   8.2784   21.8870
Darfur   139.4000   8.0702   21.8596
Darfur   139.8000   7.9568   21.8364
Darfur   140.0000   7.8967   21.8214
East_Africa   0.0000   6.0627   34.0349
East_Africa   0.6000   6.0749   33.9802
East_Africa   2.4000   6.1215   33.8285
East_Africa   3.4000   6.0981   33.7220
East_Africa   5.2000   6.1083   33.5731
East_Africa   6.2000   6.0617   33.4650
East_Africa   8.0000   6.0232   33.3176
East_Africa   9.0000   5.9583   33.2161
East_Africa   10.8000   5.8827   33.0942
East_Africa   11.8000   5.8283   33.0092
East_Africa   14.6000   5.7731   32.8640
East_Africa   17.6000   5.7067   32.7079
East_Africa   20.4000   5.7148   32.6325
East_Africa   23.4000   5.6062   32.5995
East_Africa   26.2000   5.4720   32.6376
East_Africa   29.2000   5.3299   32.7431
East_Africa   31.0000   5.2733   32.8662
East_Africa   32.0000   5.1598   32.8760
East_Africa   32.6000   5.0592   32.8366
East_Africa   33.8000   4.8829   32.8556
East_Africa   34.4000   4.7704   32.8290
East_Africa   35.0000   4.6490   32.7894
East_Africa   35.6000   4.5180   32.7343
East_Africa   36.2000   4.3779   32.6661
East_Africa   36.8000   4.2281   32.5703
East_Africa   37.2000   4.1264   32.5078
East_Africa   37.8000   3.9655   32.3834
East_Africa   38.2000   3.8546   32.2878
East_Africa   38.6000   3.7402   32.1876
East_Africa   39.0000   3.6270   32.0814
East_Africa   39.4000   3.5155   31.9707
East_Africa   39.8000   3.4057   31.8560
East_Africa   40.0000   3.3513   31.7970
East_Australia   0.0000   -38.1337   143.1354
East_Australia   0.4000   -38.2124   143.1238
